,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_Nm,torque_rpm,company,Model
36,2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,5.0,90.0,3500,Maruti,Alto
37,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,151.0,4850,Hyundai,Verna
38,2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5.0,104.0,4000,Datsun,GO
39,2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,7.0,320.0,1700,Tata,Safari
40,2012,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4.0,59.0,2500,Maruti,800
41,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,5.0,250.0,1750,other_company,other_model
42,2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5.0,145.0,4600,Honda,City
43,2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5.0,146.0,4800,Honda,City
44,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,5.0,115.0,4000,Maruti,Swift
45,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5.0,200.0,1750,Maruti,Vitara
46,2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5.0,90.0,3500,Maruti,Alto
47,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,7.0,343.0,1400,Toyota,Fortuner
48,2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,7.0,200.0,1400,Toyota,Innova
49,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,5.0,200.0,1250,Mercedes-Benz,other_model
50,2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,5.0,200.0,1750,Honda,Amaze
51,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,7.0,400.0,2000,other_company,other_model
52,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,5.0,200.0,1750,Honda,City
53,2018,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,5.0,138.0,4400,Maruti,Ciaz
54,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,5.0,200.0,1750,Honda,Jazz
55,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7.0,360.0,1200,Toyota,Innova
56,2016,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,7.0,200.0,1200,Toyota,Innova
57,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,5.0,380.0,1750,Audi,other_model
58,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5.0,173.0,4000,Toyota,other_model
59,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,5.0,400.0,1750,Audi,other_model
60,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170.0,5.0,400.0,1400,Mercedes-Benz,New
61,2011,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5.0,200.0,1750,Tata,Manza
62,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5.0,111.7,4000,Hyundai,i10
63,2013,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5.0,219.6,1500,Hyundai,i20
64,2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,5.0,190.0,2000,Maruti,Swift
65,2017,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,5.0,112.0,4000,Ford,Figo
66,2019,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,115.0,4000,Maruti,Baleno
67,2016,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,5.0,250.0,1500,Volkswagen,other_model
68,2015,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5.0,200.0,1750,Honda,City
69,2018,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5.0,90.0,3500,Maruti,Wagon
70,2017,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5.0,250.0,1500,Volkswagen,other_model
71,2016,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,200.0,1750,Maruti,Vitara
72,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5.0,200.0,1750,Maruti,Vitara
73,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5.0,111.7,4000,Hyundai,i10
74,2016,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5.0,190.0,2000,Maruti,Swift
75,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7.0,343.0,1400,Toyota,Fortuner
76,2013,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,190.0,2000,Maruti,Swift
77,2012,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7.0,130.0,4000,Maruti,Ertiga
79,2013,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5.0,250.0,1500,Volkswagen,Vento
80,2016,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8.0,200.0,1200,Toyota,Innova
81,2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5.0,205.0,1750,Ford,EcoSport
82,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189.0,5.0,280.0,1350,BMW,other_model
83,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,5.0,90.0,3500,Maruti,Celerio
84,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,5.0,104.0,4000,Datsun,GO
85,2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5.0,69.0,3500,Maruti,Alto
86,2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5.0,69.0,3500,Maruti,Alto
88,2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,5.0,99.04,4500,Hyundai,i10
89,2017,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,5.0,6.1,3000,Maruti,other_model
90,2010,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,5.0,77.0,3500,Maruti,Wagon
91,2015,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,5.0,110.0,3750,Volkswagen,Polo
92,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5.0,99.04,4500,Hyundai,i10
93,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,5.0,153.0,3800,Volkswagen,Vento
94,2009,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,5.0,90.0,3500,Maruti,Zen
95,2013,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,5.0,113.7,4000,Hyundai,i20
96,2016,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,190.0,2000,Maruti,Swift
97,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,5.0,114.0,4000,Hyundai,Xcent
98,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,5.0,62.0,3000,Maruti,Alto
99,2017,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5.0,219.7,1500,Hyundai,i20
100,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5.0,90.0,3500,Maruti,Wagon
101,2010,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,5.0,200.0,1750,Tata,Manza
102,2019,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5.0,113.0,4200,Maruti,Swift
103,2016,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,7.0,101.0,3000,Maruti,Eeco
104,2018,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,115.0,4000,Maruti,Baleno
105,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8.0,290.0,1800,Mahindra,Scorpio
106,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,5.0,120.0,4250,Ford,other_model
107,2017,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,151.0,4850,Hyundai,Verna
108,2010,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160.0,5.0,250.0,15004500,Volkswagen,other_model
109,2010,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172,65.0,5.0,96.0,3000,Tata,Indica
110,2019,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155.0,7.0,360.0,1750,Mahindra,XUV500
111,2016,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5.0,135.0,2500,Tata,Indigo
112,2013,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5.0,259.8,1900,Hyundai,Verna
113,2013,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5.0,219.6,1500,Hyundai,i20
114,2009,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5.0,173.0,4000,Toyota,other_model
115,2020,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5.0,90.0,3500,Maruti,Celerio
116,2016,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,200.0,1750,Maruti,Vitara
117,2017,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5.0,115.0,4000,Maruti,Swift
118,2017,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5.0,90.0,3500,Maruti,Wagon
120,2014,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5.0,200.0,1900,Nissan,other_model
121,2016,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5.0,259.9,1900,Hyundai,Creta
122,2017,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,5.0,205.0,1750,Ford,EcoSport
123,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5.0,190.0,2000,Maruti,Swift
124,2018,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5.0,91.0,4250,Renault,KWID
125,2015,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5.0,90.0,3500,Maruti,Celerio
126,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5.0,62.0,3000,Maruti,Alto
127,2013,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7.0,200.0,1750,Maruti,Ertiga
128,2009,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5.0,96.1,3000,Hyundai,Santro
129,2015,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7.0,200.0,1750,Maruti,Ertiga
130,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5.0,109.0,4500,Honda,Amaze
131,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188.0,5.0,400.0,1750,Audi,other_model
132,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5.0,202.0,3600,other_company,other_model
133,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5.0,430.0,1750,Jaguar,XF
134,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,5.0,347.0,4300,other_company,other_model
135,2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,7.0,382.0,1750,other_company,other_model
136,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,5.0,620.0,1600,Mercedes-Benz,other_model
137,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,5.0,400.0,1750,BMW,other_model
139,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5.0,400.0,1750,BMW,X4
140,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,5.0,250.0,1250,Skoda,other_model
141,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143,204.0,5.0,500.0,1600,Mercedes-Benz,other_model
142,2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,5.0,250.0,1600,other_company,other_model
143,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497,117.6,5.0,145.0,4600,Honda,City
144,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5.0,173.0,4000,Toyota,other_model
145,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969,190.0,5.0,400.0,0,Volvo,other_model
146,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967,241.4,7.0,550.0,1750,Audi,other_model
147,2015,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,5.0,200.0,1750,Maruti,Ciaz
148,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987,282.0,5.0,490.0,1600,Mercedes-Benz,other_model
149,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150.0,5.0,250.0,2750,BMW,other_model
150,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,5.0,177.5,4700,Hyundai,other_model
151,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,5.0,430.0,1750,Jaguar,other_model
152,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,5.0,170.0,1750,Tata,other_model
153,2011,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,5.0,153.0,3800,Volkswagen,Vento
154,2012,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,5.0,177.5,4700,Hyundai,other_model
155,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5.0,153.0,3800,Skoda,Rapid
156,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183.0,5.0,300.0,1200,Mercedes-Benz,other_model
157,2014,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7,7.0,130.0,4000,Maruti,Ertiga
158,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,5.0,300.0,1200,Mercedes-Benz,New
159,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,5.0,146.0,4800,Honda,City
160,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5.0,113.0,4200,Toyota,other_model
161,2011,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5.0,90.0,3500,Maruti,Alto
162,2012,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,5.0,113.0,4200,Maruti,Swift
163,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7.0,360.0,1200,Toyota,Innova
164,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5.0,260.0,1500,Tata,other_model
165,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,5.0,400.0,1750,BMW,other_model
166,2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5.0,213.0,4500,Toyota,other_model
167,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190.0,5.0,400.0,1750,BMW,other_model
168,2009,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,5.0,224.0,4000,Toyota,other_model
169,2016,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,7.0,130.0,4000,Maruti,Ertiga
170,2017,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969,400.0,4.0,640.0,1740,Volvo,other_model
171,2011,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,5.0,250.0,1500,Volkswagen,Vento
172,2018,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5.0,112.0,4000,Ford,Figo
173,2011,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5.0,160.0,2000,Ford,Figo
174,2015,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5.0,113.0,4200,Maruti,Swift
175,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,5.0,90.0,3500,Maruti,Wagon
176,2016,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5.0,114.7,4000,Hyundai,i20
177,1999,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4.0,59.0,2500,Maruti,800
178,2010,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5.0,113.0,4500,Maruti,Ritz
179,2015,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5.0,114.0,4000,Hyundai,Grand
180,2019,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999,75.0,5.0,95.0,3000,Volkswagen,other_model
181,2014,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5.0,114.0,4000,Hyundai,Grand
182,2014,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5.0,114.0,4000,Maruti,Swift
183,2016,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,5.0,114.0,4000,Hyundai,Xcent
184,2005,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,5.0,13.1,4600,Honda,City
185,2010,300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,5.0,205.0,1800,Toyota,other_model
186,2000,100000,60000,Petrol,Individual,Manual,First Owner,18.5,796,53.0,5.0,71.0,3500,other_company,other_model
187,2014,1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982,168.5,7.0,343.0,1400,Toyota,Fortuner
188,2016,450000,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,6.0,115.0,3500,Mahindra,KUV
189,2017,490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,5.0,190.0,1750,Tata,Zest
190,2009,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,5.0,146.0,4800,Honda,City
191,2005,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,5.0,78.0,4500,Maruti,Zen
192,2010,215000,120600,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5.0,90.0,3500,Maruti,Wagon
193,2010,320000,100000,Petrol,Individual,Manual,Third Owner,16.2,1599,103.2,5.0,14.9,3000,Hyundai,Verna
194,2016,459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,5.0,115.0,4000,Maruti,Swift
195,2005,65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83.0,5.0,115.0,3200,Hyundai,other_model
196,2020,720000,5000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5.0,117.0,4000,Hyundai,other_model
197,2017,800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5.0,200.0,1750,Maruti,Ciaz
198,2019,520000,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5.0,114.0,3500,Tata,other_model
199,2015,580000,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7.0,200.0,1750,Maruti,Ertiga
201,2015,600000,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5.0,145.0,4600,Honda,City
202,2014,290000,60000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,5.0,109.0,4500,Honda,other_model
203,2016,360000,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5.0,77.0,3500,Maruti,Wagon
204,2017,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5.0,115.0,4000,Maruti,Swift
205,2013,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5.0,113.7,4000,Hyundai,i20
207,2018,420000,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5.0,90.0,3500,Maruti,Wagon
208,2017,550000,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5.0,113.0,4200,Maruti,Swift
209,2018,270000,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5.0,69.0,3500,Maruti,Alto
210,2018,700000,7800,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8,5.0,113.0,4200,Maruti,Swift
211,2017,500000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5.0,113.0,4200,Maruti,Swift
212,2019,1250000,15000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7.0,320.0,1500,Tata,other_model
213,2013,320000,31377,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5.0,113.7,4000,Hyundai,i20
214,2018,700000,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5.0,190.0,2000,Maruti,Swift
215,2015,290000,60000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5.0,90.0,3500,Maruti,Wagon
216,2012,550000,100000,Petrol,Individual,Automatic,First Owner,14.53,1794,138.1,5.0,173.0,4000,Toyota,other_model
217,2012,265000,60000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,5.0,109.0,4500,Honda,other_model
218,2018,830000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5.0,115.0,4000,Maruti,Baleno
219,2017,800000,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7.0,320.0,1500,Tata,Safari
220,2011,160000,25000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,62.0,3000,Maruti,Alto
221,2018,335000,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5.0,72.0,4386,Renault,KWID
222,2017,329000,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5.0,104.0,4000,Datsun,GO
223,2017,775000,75000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,200.0,1750,Maruti,Vitara
224,2020,524000,32000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5.0,113.75,4000,Hyundai,Xcent
225,2015,245000,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5.0,69.0,3500,Maruti,Alto
226,2012,275000,93000,Petrol,Individual,Manual,Second Owner,17.0,1197,80.0,5.0,11.4,4000,Hyundai,i20
227,2018,520000,60000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5.0,140.0,1500,Tata,Zest
229,2014,550000,37000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,5.0,134.0,4000,Nissan,other_model
230,2018,910000,15000,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,5.0,150.0,4500,Ford,EcoSport
231,2015,300000,80000,Petrol,Individual,Manual,First Owner,19.49,1198,67.04,5.0,104.0,4000,Nissan,other_model
232,2016,350000,140000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5.0,90.0,3500,Maruti,Wagon
233,2013,900000,70000,Diesel,Individual,Manual,First Owner,12.83,2696,162.0,7.0,340.0,1800,Mahindra,other_model
234,2013,300000,120000,Diesel,Individual,Manual,Second Owner,17.21,1493,100.0,7.0,240.0,1600,Mahindra,other_model
235,2010,250000,110000,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,5.0,190.0,2000,Maruti,Ritz
